                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.21099,                0.32873,                0.85901,                0.99609,                      1,                  0.995,                0.99165,                0.18889,                0.31776,                0.81561,             0.00038375,             0.00038375,             0.00038375
                     38,                0.19992,                0.34153,                 0.8541,                0.99617,                      1,                  0.995,                0.99345,                0.20163,                0.33098,                0.81964,               0.000359,               0.000359,               0.000359
                     39,                0.21745,                0.31433,                0.86172,                0.99601,                      1,                  0.995,                0.99355,                0.17198,                0.32549,                0.80312,             0.00033425,             0.00033425,             0.00033425
                     40,                0.19909,                0.31092,                0.85419,                0.99584,                      1,                  0.995,                0.99286,                0.18969,                0.30834,                0.81463,              0.0003095,              0.0003095,              0.0003095
                     41,                0.18617,                0.41411,                0.82006,                0.98961,                      1,                  0.995,                0.98911,                0.24627,                0.51368,                0.84656,             0.00028475,             0.00028475,             0.00028475
                     42,                0.17951,                0.38561,                0.82292,                0.99452,                      1,                  0.995,                0.99388,                0.21216,                0.39244,                0.83158,                0.00026,                0.00026,                0.00026
                     43,                0.17288,                0.35402,                0.80857,                0.99411,                      1,                  0.995,                0.99336,                0.19164,                0.38525,                0.82172,             0.00023525,             0.00023525,             0.00023525
                     44,                0.18495,                0.35553,                0.81667,                0.99275,                      1,                  0.995,                0.99372,                0.19039,                0.34235,                0.81789,              0.0002105,              0.0002105,              0.0002105
                     45,                0.17516,                0.34172,                0.80386,                0.99359,                      1,                  0.995,                 0.9936,                0.18612,                0.32676,                0.81334,             0.00018575,             0.00018575,             0.00018575
                     46,                0.16945,                0.33105,                0.80807,                0.99514,                      1,                  0.995,                  0.995,                0.17318,                0.34376,                 0.8162,               0.000161,               0.000161,               0.000161
                     47,                0.16719,                0.32083,                 0.7991,                0.99586,                      1,                  0.995,                0.99372,                0.15306,                0.29715,                0.79845,             0.00013625,             0.00013625,             0.00013625
                     48,                0.16404,                0.33438,                0.79974,                  0.996,                      1,                  0.995,                0.98969,                0.17193,                0.34097,                0.80661,              0.0001115,              0.0001115,              0.0001115
                     49,                0.15388,                0.29906,                0.80065,                0.99486,                      1,                  0.995,                0.99372,                0.14478,                0.28922,                0.79108,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.16123,                0.29902,                0.80109,                0.99495,                      1,                  0.995,                0.99388,                0.14582,                 0.2705,                 0.7923,                6.2e-05,                6.2e-05,                6.2e-05
